Satisfactory,user17,Simulation.Adventure & Casual,4,Don't be afraid to get messy before refining your factory
Sid Meier's Civilization VI,user20,Strategy,4,Endless ways to play with new challenges each time A huge time sink
Sid Meier's Civilization VI,user16,Strategy,3,Too long of games still fun if you take it at your own pace in single player
Sid Meier's Civilization VI,user15,Strategy,4,After building your civilization it is very satisfying to FINALLY get your revenge on other NPCs
Sid Meier's Civilization VI,user14,Strategy,4,Great that not everything has to be won through war
Slay the Spire,user21,Strategy.Role-Playing,4,Intriguing narratives with many ways to play
Slay the Spire,user13,Strategy.Role-Playing,4,Cool characters and abilities
Slay the Spire,user12,Strategy.Role-Playing,4,If you don't like the first character keep trying until you try them all trust me
Slay the Spire,user11,Strategy.Role-Playing,4,Great to pick up and put down whenever you have a second of time
Splitgate,user22,Action,3,Very reminiscent of Halo without much of the nicer polish
Splitgate,user10,Action,4,Don't forget where you placed your portals
Splitgate,user9,Action,3,Communication is key play with your friends
Splitgate,user8,Action,3,Hard to start against older players
Super Auto Pets,user23,Strategy,4,Very luck based with SO MANY different combinations
Super Auto Pets,user7,Strategy,4,Not pay to win just keep trying
Super Auto Pets,user6,Strategy,4,Monkey team is SO POG
Super Auto Pets,user5,Strategy,3,Hard to get what is good watch some videos
Tabletop Simulator,user24,Simulation,4,So great during covid to have a place to play board games
Tabletop Simulator,user4,Simulation,4,Search the workshop for new addons
Tabletop Simulator,user3,Simulation,4,Take some time to learn how the game works
Tabletop Simulator,user2,Simulation,4,Customize your setting to your liking before getting playing a game There are so many things you can do
Terraria,user25,Adventure & Casual,4,Really fun to build and battle monsters and bosses with or without friends
Terraria,user1,Adventure & Casual,4,Great progression the new updates are GREAT
Terraria,user24,Adventure & Casual,4,Once you are done with the base game try it with mods
Terraria,user23,Adventure & Casual,5,Don't be afraid to try new classes or Boss mods Adds a whole new level to the game
